SampleID	shannon	chao1	observed_otus
N.G.r.1.1	8.976067363	2602.646104	1875
N.G.r.1.2	8.660158758	2677.177852	1811
N.G.r.1.3	9.192121808	3001.27248	2093
N.G.r.2.1	9.03732408	2784.308157	1956
N.G.r.2.2	8.784381072	2824.22508	1909
N.G.r.2.3	9.351703293	3303.442137	2161
N.G.rh.1.1	9.308651294	3207.303797	2217
N.G.rh.1.2	8.625937867	2866.896321	1798
N.G.rh.1.3	9.404528241	3514.469136	2330
N.G.rh.2.1	9.289935184	3186.788618	2160
N.G.rh.2.2	8.61960123	2664.874576	1743
N.G.rh.2.3	9.381233388	3478.104369	2309
N.chit5.r.1.2	9.159731887	2595.646154	1904
N.chit5.r.1.3	9.158189967	2754.48494	1942
N.chit5.r.2.1	9.244411889	2969.934579	2038
N.chit5.r.2.2	9.230184093	2796.671348	2014
N.chit5.r.2.3	9.185413591	2725.817365	1953
N.chit5.rh.1.1	9.159396415	3288.863874	2199
N.chit5.rh.1.2	8.797821143	2986.175497	1877
N.chit5.rh.1.3	9.474171003	3760.779188	2363
N.chit5.rh.2.1	9.205509311	3163.557377	2152
N.chit5.rh.2.2	8.857677898	2884.02027	1855
N.chit5.rh.2.3	9.460870933	3446.202073	2271
N.epr3.r.1.1	8.493635025	2610.5	1753
N.epr3.r.1.2	8.824739739	2406.7	1728
N.epr3.r.1.3	8.867581469	2616.532468	1847
N.epr3.r.2.1	8.888781332	2516.913183	1824
N.epr3.r.2.2	9.057243995	2591.076923	1846
N.epr3.r.2.3	9.18794422	2767.617391	1990
N.epr3.rh.1.1	9.17442831	3109.444142	2110
N.epr3.rh.1.2	9.173902343	3282.260753	2168
N.epr3.rh.1.3	9.385480279	3860.538462	2449
N.epr3.rh.2.1	9.163716218	3282.186944	2103
N.epr3.rh.2.2	9.099800496	3191.443548	2116
N.epr3.rh.2.3	9.368860022	4154.9022	2480
N.nfr5.r.1.1	8.601813738	2499.5	1733
N.nfr5.r.1.2	8.875064935	2725.35	1884
N.nfr5.r.1.3	9.257899624	3006.803077	2043
N.nfr5.r.2.1	8.954839133	2789.385042	1982
N.nfr5.r.2.2	9.067264433	2814.694915	1947
N.nfr5.r.2.3	9.469217648	3041.792285	2117
N.nfr5.rh.1.1	9.179852971	2988.666667	1942
N.nfr5.rh.1.2	8.383264682	2698.770898	1775
N.nfr5.rh.1.3	9.071031959	3116.495775	2059
N.nfr5.rh.2.1	9.437563255	3296.894737	2242
N.nfr5.rh.2.2	8.523658593	2760.44898	1831
N.nfr5.rh.2.3	9.147155276	3149.587021	2060
N.nfre.r.1.2	9.168327165	2834.785498	1993
N.nfre.r.1.3	9.017281637	2906.895833	1977
N.nfre.r.2.1	9.033337744	2587.082596	1894
N.nfre.r.2.2	9.368665798	2907.98773	2051
N.nfre.r.2.3	9.234656274	3023.277457	2081
N.nfre.rh.1.1	9.349759586	3515.802111	2286
N.nfre.rh.1.3	9.218752829	3797.052632	2286
N.nfre.rh.2.1	9.342920979	3581.970588	2273
N.nfre.rh.2.2	9.06234448	3389.124654	2164
N.nfre.rh.2.3	9.289479078	3417.875	2266
N.s.1.1	9.817281393	3400.03386	2503
N.s.1.2	9.837746702	3089.066514	2367
N.s.1.3	9.815840081	3305.473684	2486
N.s.2.1	9.790253545	3372.121413	2487
N.s.2.2	9.974237265	3259.331915	2488
N.s.2.3	9.899655547	3190.495851	2504
chit5.3.r.1.1	8.570776631	2534.239216	1684
chit5.3.r.1.2	8.636368564	2759.645283	1772
chit5.3.r.2.1	8.909774378	2383.378571	1678
chit5.3.r.2.2	8.862991106	2648.506438	1678
chit5.3.r.3.1	9.128998731	3039.358434	2023
chit5.3.r.3.2	9.034917907	2705.8	1887
chit5.3.rh.1.1	9.712067412	3898.271949	2611
chit5.3.rh.1.2	9.637138609	4147.389381	2637
chit5.3.rh.2.1	9.356411548	3723.444196	2454
chit5.3.rh.2.2	9.289060114	3773.122249	2406
chit5.3.rh.3.1	9.293685169	3671.748148	2381
chit5.3.rh.3.2	9.283812449	3619.174224	2391
epr3.n1.1	0.59073202	117	69
epr3.n1.2	0.644570567	108	77
epr3.n1.3	0.65119335	117.0714286	77
epr3.n2.1	0.598481471	191	65
epr3.n2.2	0.651921763	91.33333333	58
epr3.n2.3	0.718579469	405.875	104
epr3.n3.1	0.677559542	148.4	91
epr3.n3.2	0.784302003	168.3684211	109
epr3.n3.3	0.835984891	147.5454545	87
epr3.r1.1	5.673240296	1474.479452	903
epr3.r1.2	6.90070476	1584.019231	1036
epr3.r1.3	5.664982873	1315.2	870
epr3.r2.1	8.133988884	1950.396985	1321
epr3.r2.2	7.821612729	1831.374332	1247
epr3.r2.3	7.206781971	1891.235294	1208
epr3.r3.1	8.762706795	2622.940972	1749
epr3.r3.2	8.847857835	2799.441065	1771
epr3.r3.3	8.757735574	2683.289683	1718
epr3.rh1.1	8.12432139	2643.935593	1737
epr3.rh1.2	7.856871656	2840.155477	1708
epr3.rh1.3	8.227826372	3101.567164	1918
epr3.rh2.1	9.783091623	3984.203057	2650
epr3.rh2.2	9.884031403	4057.82241	2714
epr3.rh2.3	9.85985616	4041.471933	2720
epr3.rh3.1	9.676103724	4028.684211	2533
epr3.rh3.2	9.834336262	3814.233405	2601
epr3.rh3.3	9.800464167	4000.179487	2642
g.n1.1	0.914591321	760.1612903	252
g.n1.2	0.693119863	508	117
g.n1.3	0.741755519	139.5	80
g.n2.1	0.895129893	603.037037	211
g.n2.2	0.698907157	265.5714286	117
g.n2.3	0.827477582	130	88
g.n3.1	0.943151614	974.0789474	305
g.n3.2	0.762574796	397.1363636	163
g.n3.3	0.910761574	303.7142857	167
g.r1.1	8.278679851	2406.10687	1606
g.r1.2	8.897227954	2620.419014	1781
g.r1.3	8.221969946	2555.095238	1582
g.r2.1	8.861188323	3174.209677	1952
g.r2.2	8.933711195	2949.214502	1952
g.r2.3	8.822968811	2808.376206	1839
g.r3.1	8.731541034	2751.755906	1744
g.r3.2	8.867442749	2749.550336	1832
g.r3.3	8.709472187	2521.828671	1717
g.rh1.1	7.656072018	2293.330508	1435
g.rh1.2	7.252249931	2429.15859	1433
g.rh1.3	7.719575139	2665.311966	1553
g.rh2.1	8.693634267	3033.350993	1983
g.rh2.2	8.781192074	3438.353357	2053
g.rh2.3	8.84681955	4244.863128	2425
g.rh3.1	8.933515129	3293.264095	2122
g.rh3.2	9.101704404	3399.940874	2263
g.rh3.3	9.10391634	3470.674667	2261
nfr5.r1.1	7.978988828	2030.435484	1415
nfr5.r1.2	8.516061667	2262.901235	1543
nfr5.r1.3	7.690836995	2058.976303	1333
nfr5.r2.1	9.120902818	2790.073684	1859
nfr5.r2.2	9.292643419	2903.934579	1972
nfr5.r2.3	9.25234391	2743.541806	1897
nfr5.r3.1	9.110224563	2562.675676	1801
nfr5.r3.2	9.162640662	2872.206186	1907
nfr5.r3.3	9.049358868	2645.603175	1833
nfr5.rh1.1	8.185321346	3112.093458	1899
nfr5.rh1.2	8.054523184	3073.705298	1822
nfr5.rh1.3	8.254100445	3199.033233	1944
nfr5.rh2.1	9.678475535	4080.839836	2679
nfr5.rh2.2	9.810900332	4416.51236	2751
nfr5.rh2.3	9.605298563	4041.792148	2592
nfr5.rh3.1	9.668645267	3617.034965	2462
nfr5.rh3.2	9.666417131	3688.009238	2476
nfr5.rh3.3	9.345278791	3291.375	2190
nfre.n1.1	0.540601956	71.375	50
nfre.n1.2	0.599887201	85.625	54
nfre.n1.3	0.554009991	108.1428571	58
nfre.n2.1	0.510269649	51	38
nfre.n2.2	0.484644051	46.16666667	37
nfre.n2.3	0.517836321	62.14285714	45
nfre.n3.1	0.470735791	79.2	45
nfre.n3.2	0.521974057	61.14285714	44
nfre.n3.3	0.537310055	117	54
nfre.r1.1	7.528864465	2760.458042	1736
nfre.r1.2	8.826095181	2966.721408	1982
nfre.r1.3	7.396154938	2653.541176	1630
nfre.r2.1	9.190056983	2881.223881	2018
nfre.r2.2	9.271044247	3138.252976	2092
nfre.r2.3	9.296673766	3163.405028	2146
nfre.r3.1	9.105882724	2992.529086	2028
nfre.r3.2	9.185200068	3113.747159	2079
nfre.r3.3	9.098641914	3127.580925	2065
nfre2.r.1.1	9.059937558	2783.550336	1866
nfre2.r.1.2	9.071825291	2823.697248	1944
nfre2.r.1.3	9.108365638	2898.162791	1912
nfre2.r.2.1	9.100224867	3156	1997
nfre2.r.2.2	9.071960609	2991.415663	1980
nfre2.r.2.3	9.019704089	2562.979381	1802
nfre2.rh.1.1	9.514281681	3773.378505	2462
nfre2.rh.1.2	8.700325015	3334.549724	2118
nfre2.rh.1.3	9.360468857	3438.345361	2279
nfre2.rh.2.1	9.414858132	3631.698734	2357
nfre2.rh.2.2	8.477173005	3021.237785	1906
nfre2.rh.2.3	9.335366583	3375.73057	2271
nfre3.r.1.1	9.228228043	3191.446866	2140
nfre3.r.1.2	9.269029613	3118.677419	2151
nfre3.r.2.1	8.737978168	2837.418327	1751
nfre3.r.2.2	8.746134611	2695.56391	1744
nfre3.rh.2.1	8.834659458	3432.333333	2183
nfre3.rh.2.2	8.688439448	3175.758523	2082
soil1.1	9.063895312	3094.189781	2247
soil1.2	9.057370128	3262.981675	2262
soil1.3	9.247718837	3660.322581	2448
soil2.1	9.801084471	3755.270992	2779
soil2.2	10.58364116	4328.220238	3107
soil2.3	10.60234903	4246.488	3215
soil3.1	10.27913978	3877.949153	2905
soil3.2	10.5950101	4245.488496	3162
soil3.3	10.5772779	3881.078947	3071
chit5.n1.1	0.853852538	381.6190476	169
chit5.n1.2	0.834564423	217.0526316	127
chit5.n1.3	0.800051424	273	135
chit5.n2.1	0.703483216	195.1428571	78
chit5.n2.2	0.640273394	148.1	74
chit5.n2.3	0.723203964	219.0714286	101
chit5.n3.1	0.661189003	222.5	72
chit5.n3.2	0.663991117	167.6	62
chit5.n3.3	0.727603995	101.6	51
chit5.r1.1	7.305043673	2278.044	1455
chit5.r1.2	9.187663715	4093.067568	2366
chit5.r1.3	7.311662421	2055.265625	1388
chit5.r2.1	8.904321547	2742.168317	1864
chit5.r2.2	9.066163545	2884.14759	1962
chit5.r2.3	9.130572534	2873.809783	2014
chit5.r3.1	8.379256551	2294.520408	1627
chit5.r3.2	8.571860825	2609.327206	1743
chit5.r3.3	8.69217572	2533.522556	1711
chit5.rh1.1	7.264819236	2405.888031	1525
chit5.rh1.2	7.264830254	2488.741935	1561
chit5.rh1.3	7.679743535	2681.509804	1719
chit5.rh2.1	9.605654493	3818.775281	2507
chit5.rh2.2	9.601538914	4022.219626	2545
chit5.rh2.3	9.53812149	3755.879717	2457
chit5.rh3.1	9.671705081	4000.765086	2643
chit5.rh3.2	9.827086206	4268.057692	2736
chit5.rh3.3	9.759753424	4194.111111	2694
