OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu555	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Alcaligenaceae	1	Achromobacter	1	Achromobacter_spanius	0.51
Zotu650	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Alcaligenaceae	1	Achromobacter	1	Achromobacter_spanius	1
Zotu404	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Xanthomonadales	1	AsCoM_f_152	1	Acidibacter	1	AsCoM_s_3067	0.91
Zotu427	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Xanthomonadales	1	AsCoM_f_152	1	Acidibacter	1	AsCoM_s_643	1
Zotu560	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Xanthomonadales	1	AsCoM_f_152	1	Acidibacter	1	AsCoM_s_643	1
Zotu692	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Xanthomonadales	1	AsCoM_f_152	1	Acidibacter	1	AsCoM_s_643	1
Zotu732	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Xanthomonadales	1	AsCoM_f_152	1	Acidibacter	1	AsCoM_s_3067	0.82
Zotu1830	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.95	Acidovorax	0.68	Acidovorax_radicis	0.68
Zotu311	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Acidovorax	0.68	Acidovorax_radicis	0.4
Zotu9867	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.98	Burkholderiales	0.97	Comamonadaceae	0.97	Acidovorax	0.64	Acidovorax_radicis	0.64
Zotu1433	Bacteria	1	Actinobacteria	0.98	Actinobacteria	0.98	Streptosporangiales	0.98	Thermomonosporaceae	0.98	Actinocorallia	0.98	AsCoM_s_9816	0.98
Zotu279	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Streptosporangiales	1	Thermomonosporaceae	1	Actinocorallia	1	AsCoM_s_9816	1
Zotu480	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Streptosporangiales	1	Thermomonosporaceae	1	Actinocorallia	1	AsCoM_s_9816	1
Zotu308	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.85	Xanthobacteraceae	0.99	Afipia	0.99	Afipia_broomeae	0.74
Zotu1004	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Rhizobiaceae	0.72	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.64	Rhizobium_laguerreae	0.63
Zotu10387	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.97	Rhizobiaceae	0.97	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.97	Rhizobium_laguerreae	0.51
Zotu10413	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Rhizobiaceae	1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	1	Rhizobium_laguerreae	0.7
Zotu1055	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Rhizobiaceae	1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.96	AsCoM_s_687	0.71
Zotu10601	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.71	Rhizobiaceae	0.66	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.57	Agrobacterium_radiobacter	0.37
Zotu10661	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.94	Rhizobiaceae	0.69	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.5	Agrobacterium_radiobacter	0.28
Zotu10767	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.65	Rhizobiaceae	0.65	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.34	AsCoM_s_1861	0.24
Zotu1085	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.62	Rhizobiaceae	0.62	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.61	Rhizobium_laguerreae	0.61
Zotu109	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Rhizobiaceae	1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	1	Rhizobium_laguerreae	0.75
