Genotype	shoot_fresh_weight	root_fresh_weight	pink_nodules	white_nodules	total
Gifu	2.0151				
Gifu	1.6979				
Gifu	1.995				
Gifu	2.6382				
Gifu	1.1214				
Gifu	1.3459				
Gifu	1.5622				
Gifu	1.5539				
Gifu	1.6324	1.1514		4	4
Gifu	2.2448	0.8246		7	7
Gifu	1.763	1.1852	1	11	12
Gifu	1.1053	0.304		7	7
Gifu	3.7262	1.8561		4	4
Gifu	1.8169	0.5502	1	11	12
Gifu	1.5293	0.4383		2	2
Gifu	1.6606	0.7315		6	6
Gifu	2.1002	0.414		13	13
Gifu	3.1637	1.1552		16	16
Gifu	2.3638	1.163		8	8
Gifu	1.6309	0.7281		5	5
Gifu	2.0746	0.9752		13	13
Gifu	1.5134	1.1758		6	6
Gifu	1.5764	1.1437		14	14
Gifu	1.7952	0.9694		17	17
Gifu	2.9591	1.2513		14	14
Gifu	1.2137	0.3878		5	5
Gifu	1.4681	0.4204		13	13
Gifu	2.3087	0.7942	1	16	17
Gifu	2.018	0.6952		10	10
Gifu	2.7516	0.9582		11	11
nfre	1.6942				
nfre	3.0924				
nfre	1.1233				
nfre	1.694				
nfre	0.6992				
nfre	0.9976				
nfre	0.5206	0.3373		1	1
nfre	0.7613	0.3947		5	5
nfre	1.1092	1.0198			0
nfre	1.4723	0.5299		7	7
nfre	1.4174	0.885		4	4
nfre	1.7657	1.096		3	3
nfre	1.1683	0.633		2	2
nfre	1.0054	0.6177		4	4
nfre	1.2125	0.368		5	5
nfre	1.0474	0.2617		4	4
nfre	2.9328	0.6493		8	8
nfre	2.2024	0.9		6	6
nfre	1.6829	0.8516		8	8
nfre	1.3569	0.67		5	5
nfre	1.8244	0.5236		7	7
nfre	1.9368	0.8483		3	3
nfre	2.3396	1.3596	1	2	3
nfre	1.4448	0.515		5	5
nfre	1.8707	0.5658		5	5
nfre	1.8503	0.6262		3	3
nfre	0.8337	0.4132		4	4
nfre	3.056	1.3887		7	7
nfre	1.5451	0.4617		5	5
nfre	3.5996	1.8045		7	7
nfre	1.3897	0.3272		9	9
nfre	0.64	0.2615		7	7
nfre	0.6058	0.4219		4	4
nfr5	1.3715				
nfr5	1.3537				
nfr5	1.6085				
nfr5	1.164				
nfr5	1.4212				
nfr5	1.8206				
nfr5	1.0854	0.7496			0
nfr5	2.0496	1.4103			0
nfr5	0.6042	0.4331			0
nfr5	1.3267	0.9481			0
nfr5	1.7735	0.7958			0
nfr5	1.6839	1.1244			0
nfr5	1.2138	0.6436			0
nfr5	2.0499	1.3442			0
nfr5	1.9462	0.883			0
nfr5	1.7313	0.7982			0
nfr5	1.3475	0.4727			0
nfr5	2.167	1.3977			0
nfr5	1.8318	1.2726			0
nfr5	1.7327	0.9337			0
nfr5	1.2884	0.5039			0
nfr5	1.6532	0.8768			0
nfr5	1.5868	0.9924			0
nfr5	1.5859	1.3435			0
nfr5	1.2096	0.5724			0
nfr5	1.6808	0.8557			0
nfr5	0.4969	0.1889			0
nfr5	3.452	1.1987			0
nfr5	1.9491	1.3871			0
nfr5	1.3193	0.5522			0
chit5	1.78				
chit5	0.8872				
chit5	3.901				
chit5	3.2359				
chit5	2.4497				
chit5	1.5808				
chit5	1.4871	0.5134		1	1
chit5	2.0496	1.064			0
chit5	1.3786	0.6024			0
chit5	3.099	1.9106			0
chit5	1.4962	0.6618		4	4
chit5	1.8531	0.9917		2	2
chit5	1.9431	0.7515			0
chit5	1.4354	0.6515		2	2
chit5	3.8144	1.9637			0
chit5	2.9697	1.061		1	1
chit5	2.4326	1.3196			0
chit5	2.3146	1.0864		3	3
chit5	2.9694	0.6907		6	6
chit5	2.6593	0.6987		1	1
chit5	2.281	0.6828		5	5
chit5	2.4613	0.6241		5	5
chit5	1.6268	0.3218		9	9
chit5	2.348	1.1059		4	4
chit5	1.9339	0.8008		6	6
chit5	1.961	0.55		8	8
chit5	1.8825	0.4862		8	8
chit5	1.9101	0.5586		3	3
chit5	2.3045	1.1304		5	5
chit5	2.1369	0.3668		4	4
chit5	1.2897	0.7201			0
chit5	1.8406	0.5427		2	2
chit5	0.5255	0.1067			0
chit5	3.9351	2.3247		13	13
chit5	1.2861	1.1712		1	1
