Genotype	shoot_fresh_weight	root_fresh_weight	pink_nodules	white_nodules	black	total_nodules
Gifu	1.4301	0.9501	64	10		74 
Gifu	1.0435	0.6461	37	10	3	50 
Gifu	0.5693	0.3545	26	17		43 
Gifu	1.7492	1.2133	84	11		95 
Gifu	1.0741	0.9081	50	9		59 
Gifu	1.1876	0.7844	47	5		52 
Gifu	1.3406	0.7900	41	23		64 
Gifu	1.5460	1.0131	71	19		90 
Gifu	0.7523	0.4477	46	5		51 
Gifu	1.3606	0.8617	58	23		81 
Gifu	1.0958	0.5713	46	17		63 
Gifu	1.4244	0.7599	45	11		56 
Gifu	0.8141	0.5110	30	19		49 
Gifu	1.3327	0.7077	33	16		49 
Gifu	0.0725	0.0837	7	35		42 
chit5	0.1981	0.2666	23	56		79 
chit5	0.1207	0.1260	4	39		43 
chit5	0.1401	0.1758	16	35		51 
chit5	0.1408	0.1175	2	50		52 
chit5	0.1589	0.1711	7	30		37 
chit5	0.1655	0.2007	5	53		58 
chit5	0.2588	0.2543	18	54		72 
chit5	0.0899	0.0766	3	33	4	40 
chit5	0.0594	0.0475	0	17		17 
chit5	0.0936	0.1148	0	39		39 
chit5	0.2381	0.3266	11	59		70 
chit5	0.0807	0.0424	2	27		29 
chit5	0.0607	0.0914	2	25		27 
chit5	0.3205	0.3661	5	85		90 
chit5	0.0913	0.1002	3	30		33 
chit5	0.0415	0.0388				
chit5	0.2435	0.2634	16	51		67 
chit5	0.0748	0.0875	3	29		32 
chit5	0.0697	0.0729	1	28		29 
chit5	0.1081	0.1508	5	52		57 
chit5	0.1533	0.1300	8	91		99 
chit5	0.1113	0.1002	3	23		26 
chit5	0.0366	0.0292	1	10		11 
chit5	0.2693	0.2458	14	52		66 
chit5	0.2534	0.2598	16	73		89 
chit5	0.1089	0.0637	7	32		39 
chit5	0.1850	0.1347	6	48		54 
chit5	0.0930	0.1461	2	59		61 
chit5	0.1700	0.1785	10	73		83 
chit5	0.2259	0.2705	12	96		108 
chit5	0.2903	0.4270	21	104		125 
chit5	0.1513	0.2097	15	73		88 
chit5	0.1019	0.1228	6	40		46 
chit5	0.0954	0.1413	13	55		68 
chit5	0.1075	0.1089	9	45	1	55 
chit5	0.1705	0.2280	5	67		72 
chit5	0.1296	0.1385	0	63		63 
chit5	0.1586	0.1524	9	58	2	69 
chit5	0.1290	0.1655	4	55	4	63 
chit5	0.1885	0.1442	8	62		70 
chit5	0.1172	0.1136	3	34		37 
chit5	0.2864	0.2783	13	88		101 
chit5	0.0537	0.0438	0	33		33 
chit5	0.1377	0.1152	3	47		50 
chit5	0.1553	0.2336	8	91		99 
chit5	0.0668	0.0741	2	38		40 
chit5	0.1393	0.1380	7	53		60 
nfre	\	\	30	9		39 
nfre	0.0401	0.0644	3	27	3	33 
nfre	0.0274	0.0214	3	15		18 
nfre	0.1923	0.1495	16	17	1	34 
nfre	0.9805	0.8931	33	14		47 
nfre	0.8652	0.7060	33	16		49 
nfre	0.8382	0.5724	26	11		37 
nfre	1.0792	0.8078	61	3		64 
nfre	\	0.5221	28	18		46 
nfre	0.7504	0.5154	44	4		48 
nfre	1.1731	0.7290	38	9		47 
nfre	0.8297	0.4980	39	14		53 
nfre	0.2970	0.1717	6	14		20 
nfre	0.2497	0.1676	10	8		18 
nfre	0.7653	0.3629	28	21		49 
nfre	0.7206	0.4573	23	17		40 
nfre	0.5105	0.2803	10	11		21 
nfre	0.6150	0.3286	17	13		30 
nfre	0.6751	0.3169	7	20		27 
nfre	0.0248	0.0059	1	0		1 
nfre	0.0221	0.0025	0	0		0 
epr3	0.5608	0.3772	32	11		43 
epr3	0.7969	0.5830	35	18		53 
epr3	0.0810	0.0582	0	11	1	12 
epr3	0.1557	0.1176	7	7		14 
