OTUid	chit5.3.r.1.1	chit5.3.r.1.2	chit5.3.r.2.1	chit5.3.r.2.2	chit5.3.r.3.1	chit5.3.r.3.2	chit5.3.rh.1.1	chit5.3.rh.1.2	chit5.3.rh.2.1	chit5.3.rh.2.2	chit5.3.rh.3.1	chit5.3.rh.3.2	chit5.n1.1	chit5.n1.2	chit5.n1.3	chit5.n2.1	chit5.n2.2	chit5.n2.3	chit5.n3.1	chit5.n3.2	chit5.n3.3	chit5.r1.1	chit5.r1.2	chit5.r1.3	chit5.r2.1	chit5.r2.2	chit5.r2.3	chit5.r3.1	chit5.r3.2	chit5.r3.3	chit5.rh1.1	chit5.rh1.2	chit5.rh1.3	chit5.rh2.1	chit5.rh2.2	chit5.rh2.3	chit5.rh3.1	chit5.rh3.2	chit5.rh3.3	g.n1.1	g.n1.2	g.n1.3	g.n2.1	g.n2.2	g.n2.3	g.n3.1	g.n3.2	g.n3.3	g.r1.1	g.r1.2	g.r1.3	g.r2.1	g.r2.2	g.r2.3	g.r3.1	g.r3.2	g.r3.3	g.rh1.1	g.rh1.2	g.rh1.3	g.rh2.1	g.rh2.2	g.rh2.3	g.rh3.1	g.rh3.2	g.rh3.3	N.chit5.r.1.2	N.chit5.r.1.3	N.chit5.r.2.1	N.chit5.r.2.2	N.chit5.r.2.3	N.chit5.rh.1.1	N.chit5.rh.1.2	N.chit5.rh.1.3	N.chit5.rh.2.1	N.chit5.rh.2.2	N.chit5.rh.2.3	N.G.r.1.1	N.G.r.1.2	N.G.r.1.3	N.G.r.2.1	N.G.r.2.2	N.G.r.2.3	N.G.rh.1.1	N.G.rh.1.2	N.G.rh.1.3	N.G.rh.2.1	N.G.rh.2.2	N.G.rh.2.3	N.nfr5.r.1.1	N.nfr5.r.1.2	N.nfr5.r.1.3	N.nfr5.r.2.1	N.nfr5.r.2.2	N.nfr5.r.2.3	N.nfr5.rh.1.1	N.nfr5.rh.1.2	N.nfr5.rh.1.3	N.nfr5.rh.2.1	N.nfr5.rh.2.2	N.nfr5.rh.2.3	N.nfre.r.1.2	N.nfre.r.1.3	N.nfre.r.2.1	N.nfre.r.2.2	N.nfre.r.2.3	N.nfre.rh.1.1	N.nfre.rh.1.3	N.nfre.rh.2.1	N.nfre.rh.2.2	N.nfre.rh.2.3	N.s.1.1	N.s.1.2	N.s.1.3	N.s.2.1	N.s.2.2	N.s.2.3	nfr5.r1.1	nfr5.r1.2	nfr5.r1.3	nfr5.r2.1	nfr5.r2.2	nfr5.r2.3	nfr5.r3.1	nfr5.r3.2	nfr5.r3.3	nfr5.rh1.1	nfr5.rh1.2	nfr5.rh1.3	nfr5.rh2.1	nfr5.rh2.2	nfr5.rh2.3	nfr5.rh3.1	nfr5.rh3.2	nfr5.rh3.3	nfre.n1.1	nfre.n1.2	nfre.n1.3	nfre.n2.1	nfre.n2.2	nfre.n2.3	nfre.n3.1	nfre.n3.2	nfre.n3.3	nfre.r1.1	nfre.r1.2	nfre.r1.3	nfre.r2.1	nfre.r2.2	nfre.r2.3	nfre.r3.1	nfre.r3.2	nfre.r3.3	nfre2.r.1.1	nfre2.r.1.2	nfre2.r.1.3	nfre2.r.2.1	nfre2.r.2.2	nfre2.r.2.3	nfre2.rh.1.1	nfre2.rh.1.2	nfre2.rh.1.3	nfre2.rh.2.1	nfre2.rh.2.2	nfre2.rh.2.3	nfre3.r.1.1	nfre3.r.1.2	nfre3.r.2.1	nfre3.r.2.2	nfre3.rh.2.1	nfre3.rh.2.2	soil1.1	soil1.2	soil1.3	soil2.1	soil2.2	soil2.3	soil3.1	soil3.2	soil3.3
Zotu1	613	606	124	179	410	308	258	225	175	84	1933	1711	111548	236483	132499	144022	194054	156102	249318	229019	60911	1061	244	64	87	224	137	82	262	189	108	173	54	230	473	830	927	523	779	69401	98126	58091	64577	126625	133051	68001	184406	53550	793	809	414	2730	1702	3146	373	416	301	147	571	283	7469	15767	8153	509	711	415	19	58	30	35	71	25	11	247	10	14	19	46	857	133	28	481	116	66	37	37	69	22	16	12	21	18	2	31	31	18	16	26	14	9	20	765	151	129	940	91	18	77	25	22	27	171	86	17	21	11	12	30	40	35	27	25	25	18	23	17	55	82	75	101	81	59	51	40	27	87093	71471	67345	91276	84811	58852	69349	55457	76742	359	354	442	551	417	309	1406	940	916	703	720	275	569	1032	179	423	286	237	440	549	195	869	716	1383	1509	526	544	540	93	35	1648	96	198	200	131	28
Zotu10	2557	2590	1895	2130	779	839	187	178	60	32	44	49	43	78	34	57	63	56	44	59	9	133	348	109	714	1233	560	597	487	648	1852	2447	1757	407	1007	398	101	148	173	30	29	13	11	14	23	11	35	9	955	1173	439	834	1264	942	498	417	332	78	235	159	35	95	168	66	128	98	152	649	316	620	486	27	5	77	8	6	15	292	283	76	291	188	115	26	19	17	21	7	11	67	345	309	167	460	417	12	9	28	16	10	18	294	461	111	489	373	33	23	43	16	15	44	58	41	40	51	42	921	955	771	322	294	265	1077	764	586	1385	850	878	197	233	279	1324	1471	1045	10	20	24	15	13	24	9	6	6	653	904	683	642	406	312	1101	651	617	408	480	347	349	958	178	783	3053	54	513	6022	47	1619	871	2391	1866	603	562	358	93	83	19	47	47	19	16	22
Zotu1001	2	4	1	0	3	0	71	67	2	1	33	29	0	0	0	0	0	0	0	0	0	4	4	0	1	2	0	0	2	1	21	27	13	60	77	35	36	38	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	19	23	18	44	78	30	66	90	81	0	0	1	0	0	9	0	1	8	0	8	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	1	0	0	0	3	0	1	3	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	10	8	24	26	19	18	14	14	0	0	0	0	0	0	0	0	0	10	3	13	0	1	4	2	2	2	0	5	4	0	7	1	109	53	39	83	91	45	3	3	6	9	99	130	0	0	0	0	1	0	0	0	0
Zotu1004	87	74	34	38	55	50	9	12	1	2	2	4	0	0	0	0	0	0	0	0	0	35	30	19	45	50	65	55	47	61	1	0	0	5	9	3	7	9	9	2	0	0	0	0	0	0	1	1	12	9	5	32	25	37	18	14	11	4	2	2	12	28	9	15	27	17	9	16	1	9	11	0	0	1	1	0	0	5	0	0	3	0	2	1	2	3	1	0	0	2	2	2	7	2	15	0	0	1	0	0	0	2	6	0	9	16	3	4	0	0	6	0	0	0	0	0	0	15	13	12	20	17	15	22	22	23	4	0	0	4	1	2	2	1	0	0	0	0	0	0	0	0	0	0	11	16	10	30	16	17	18	11	24	37	67	30	31	94	21	16	8	5	16	27	8	46	46	58	63	18	9	0	0	0	0	0	0	0	0	0
Zotu1005	1	0	2	0	1	0	25	30	10	1	26	14	0	0	0	0	0	0	0	0	0	1	5	0	18	32	20	8	6	8	5	12	3	71	137	80	72	110	138	0	0	0	1	0	0	0	2	0	2	1	0	2	3	2	0	2	0	1	3	1	1	9	2	3	3	2	0	2	1	0	1	3	0	12	0	0	4	2	6	15	1	16	6	12	9	11	17	9	1	4	8	5	2	6	6	2	1	8	2	2	9	4	9	0	5	8	2	15	14	6	13	0	0	0	0	0	0	0	4	2	14	19	16	15	18	14	26	12	25	83	58	114	59	64	82	0	0	0	0	0	0	0	0	0	1	0	1	4	1	3	2	0	1	1	0	0	1	0	0	1	2	9	1	2	3	1	1	2	1	2	5	0	0	0	0	0	0	0	0	0
Zotu1006	36	28	20	20	22	21	1	3	1	1	3	0	0	1	2	0	0	0	0	2	0	2	11	1	16	18	25	66	25	46	0	0	0	7	11	3	5	2	9	0	0	0	0	0	0	0	0	0	13	20	8	9	9	15	18	17	20	0	0	0	1	8	9	5	7	7	10	4	0	3	2	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	25	41	18	73	53	62	29	13	11	0	0	0	4	3	6	4	2	0	0	0	0	0	0	0	0	0	0	7	16	6	14	11	10	8	6	8	39	8	50	20	10	25	2	0	0	0	0	2	12	10	15	21	6	3	0	0	0	0	0	0	0	0	0
Zotu1007	1	1	0	0	0	1	7	4	34	22	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	64	0	0	173	0	0	124	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	7	0	0	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	3	7	0	0	0	0	0	0	0	0	0	4	0	2	359	311	314	176	126	168	0	0	0	0	1	0	1	3	0	0	13	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	0
Zotu101	63	93	694	836	211	156	89	68	101	59	61	35	0	0	0	0	0	0	0	1	0	8	19	6	85	201	116	40	34	49	21	44	24	51	79	47	25	37	65	1	0	0	1	0	0	0	0	0	17	23	9	33	39	44	30	33	27	7	16	6	16	53	15	19	44	22	44	79	79	21	31	69	8	39	48	10	25	92	33	49	53	17	51	43	37	80	20	27	58	43	73	62	45	61	55	26	18	53	12	24	50	114	58	25	188	33	27	81	33	40	38	2	0	0	1	4	1	199	224	167	413	322	257	173	191	177	226	381	256	155	126	109	83	42	46	0	0	0	0	0	0	0	0	0	115	122	127	25	35	39	67	82	51	227	83	49	141	124	52	94	30	23	53	55	22	145	89	130	133	62	46	0	3	4	0	1	0	0	5	2
Zotu1011	13	18	76	96	65	45	7	4	10	8	4	8	0	0	0	0	0	0	0	0	0	5	32	11	24	40	17	135	92	180	0	0	0	10	15	10	5	9	6	2	0	0	0	0	0	0	0	0	15	16	5	5	8	11	13	14	6	1	5	0	2	14	5	7	12	8	10	5	2	18	3	1	2	5	0	2	4	11	0	0	19	3	0	4	1	0	1	0	0	4	1	0	2	0	4	1	0	1	0	1	1	7	0	1	10	0	0	3	1	1	1	0	0	0	0	0	0	2	4	4	151	130	139	24	13	23	4	4	8	3	10	2	9	3	14	0	0	0	0	0	0	0	0	0	0	1	1	5	1	4	9	6	5	20	42	22	19	60	15	7	5	4	4	5	0	12	18	3	0	7	4	2	3	1	1	8	1	1	0	1
Zotu1014	3	4	1	2	0	2	80	66	3	0	17	37	0	0	0	0	0	0	0	0	0	8	20	4	8	37	17	38	48	72	22	30	27	223	424	240	385	416	603	4	1	0	0	3	0	0	6	0	0	1	0	1	5	3	2	3	2	7	11	11	18	27	12	21	20	27	0	1	0	0	0	1	0	4	0	0	0	0	0	1	1	1	2	9	0	1	8	0	0	1	4	0	3	5	3	0	1	2	2	0	10	1	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	2	0	11	13	13	5	7	2	16	15	18	220	124	222	134	62	132	0	0	0	0	0	0	0	0	0	25	65	36	15	16	30	20	9	19	0	14	13	0	7	14	9	38	28	12	56	39	7	7	8	4	67	38	0	0	0	0	0	0	0	0	0
