ASVid	9w.r.4.1	9w.r.4.2	9w.r.4.3	9w.r.4.4	9w.r.4N.3	9w.r.4N.4	9w.rh.4.1	9w.rh.4.2	9w.rh.4.3	9w.rh.4.4	9w.rh.4N.1	9w.rh.4N.2	9w.rh.4N.3	9w.rh.4N.4	C.9w.4.1	C.9w.4.2	C.9w.4.3	C.9w.4N.1	C.9w.4N.2	C.9w.4N.3	N.SC.1	N.SC.2	N.SC.3	SC.1	SC.2	SC.3	9w.r.1.1	9w.r.1.2	9w.r.1.4	9w.r.1N.1	9w.r.1N.3	9w.r.1N.4	9w.rh.1.1	9w.rh.1.2	9w.rh.1.3	9w.rh.1.4	9w.rh.1N.1	9w.rh.1N.2	9w.rh.1N.3	9w.rh.1N.4	C.9w.1.1	C.9w.1.2	C.9w.1.3	C.9w.1N.1	C.9w.1N.2	C.9w.1N.3	N.SC.R7A.1	N.SC.R7A.2	N.SC.R7A.3	SC.R7A.1	SC.R7A.2	SC.R7A.3	9w.r.3.1	9w.r.3.2	9w.r.3.3	9w.r.3.4	9w.r.3N.1	9w.r.3N.2	9w.r.3N.3	9w.r.3N.4	9w.rh.3.1	9w.rh.3.2	9w.rh.3.3	9w.rh.3.4	9w.rh.3N.1	9w.rh.3N.2	9w.rh.3N.3	9w.rh.3N.4	C.9w.3.1	C.9w.3.2	C.9w.3.3	C.9w.3N.1	C.9w.3N.2	C.9w.3N.3	N.SC.R7AnifH.1	N.SC.R7AnifH.2	N.SC.R7AnifH.3	SC.R7AnifH.1	SC.R7AnifH.2	SC.R7AnifH.3	9w.r.2.2	9w.r.2.3	9w.r.2.4	9w.r.2N.1	9w.r.2N.2	9w.r.2N.3	9w.r.2N.4	9w.rh.2.1	9w.rh.2.2	9w.rh.2.3	9w.rh.2.4	9w.rh.2N.1	9w.rh.2N.2	9w.rh.2N.3	9w.rh.2N.4	C.9w.2.1	C.9w.2.2	C.9w.2.3	C.9w.2N.1	C.9w.2N.2	C.9w.2N.3	N.SC.R7AnodC.1	N.SC.R7AnodC.2	N.SC.R7AnodC.3	SC.R7AnodC.1	SC.R7AnodC.2	SC.R7AnodC.3
ASV1	19	2	24	0	1	4	526	274	315	389	72	45	47	78	823	1457	1222	548	1126	1468	4560	3246	4420	6838	6594	7835	0	8	2	2	3	2	209	937	777	126	17	39	31	56	1397	1725	2246	1184	1713	765	4916	5113	5800	4911	4189	3969	0	7	26	6	5	3	0	1	555	1539	434	202	66	47	60	49	1073	663	783	1605	285	722	4501	4621	4046	6232	6985	7102	5	4	99	4	4	18	2	245	796	383	322	101	62	105	59	596	252	2707	803	796	342	2727	2310	2551	7377	5488	5904
ASV10	407	10	17	10	3	35	4554	4932	5954	5086	783	490	786	827	3338	2387	2726	1547	2684	3908	1341	928	1158	1386	1344	1536	36	11	24	71	9	155	445	456	581	374	160	293	224	227	2243	4891	3930	5263	4132	4034	1132	1210	1386	1144	874	874	12	24	47	4	17	10	3	29	2240	2094	1949	2176	516	686	653	552	1762	1583	1522	7535	509	5821	1168	1197	1008	1358	1575	1454	81	378	578	18	11	89	4	5028	5462	4554	1776	731	410	446	461	1843	814	7547	1776	3550	1079	861	742	795	1471	1023	1083
ASV11	0	0	0	0	0	0	8	1	4	5	0	5	0	0	0	8	0	0	14	31	586	376	202	196	232	265	0	0	0	0	4	0	0	1	0	2	0	0	1	0	54	16	9	56	11	15	353	235	386	570	751	345	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	35	6	10	30	0	8	299	166	146	224	243	283	0	0	0	0	0	0	0	2	2	2	0	0	1	0	0	18	3	31	12	10	0	507	1554	479	541	394	178
ASV12	0	0	0	0	0	0	24	17	20	13	7	6	9	3	41	77	83	16	52	58	55	42	58	50	74	83	0	0	0	0	0	0	9	13	11	3	4	5	4	3	56	96	58	63	91	60	49	64	54	47	25	22	0	0	0	0	1	0	0	0	29	10	11	37	5	20	13	5	36	12	24	77	16	55	47	43	40	56	58	69	0	0	0	0	0	0	0	21	45	36	17	8	3	15	13	56	3	60	39	80	12	52	32	56	55	43	75
ASV13	3	0	0	0	0	0	80	68	66	88	18	13	8	7	157	125	178	93	196	242	90	72	109	80	96	111	0	1	0	5	0	1	42	66	90	24	6	11	16	19	243	313	201	162	260	158	92	90	119	69	52	44	29	4	3	0	1	1	0	0	256	127	233	172	11	7	12	10	106	44	67	167	31	100	67	71	51	65	98	87	0	1	4	0	0	1	1	80	127	80	269	13	5	17	8	95	28	182	54	184	35	73	66	84	89	66	103
ASV15	1	0	0	5	0	6	511	647	518	636	228	121	142	172	341	225	458	109	232	361	546	427	572	511	562	662	0	2	1	5	0	5	206	240	176	104	74	142	152	119	342	471	287	334	286	264	545	603	699	449	345	350	1	0	0	0	3	0	0	0	1274	305	524	764	143	109	123	149	248	113	263	543	33	300	449	434	312	565	600	648	10	4	268	0	1	11	0	1181	851	1579	859	152	86	120	115	311	70	679	192	367	71	430	400	419	609	489	591
ASV16	0	2	0	3	0	0	92	104	90	105	37	32	29	26	97	107	77	47	70	130	248	152	226	172	165	194	0	0	0	0	0	0	36	27	34	21	19	21	16	11	140	176	111	82	125	75	211	254	326	135	120	101	0	0	0	0	0	0	0	0	176	104	72	132	22	19	25	36	57	40	66	97	8	89	157	150	118	153	209	201	0	0	18	0	0	1	0	162	115	202	104	27	17	23	19	67	11	115	63	100	39	157	120	113	202	178	135
ASV17	23	1	5	0	2	15	380	288	414	417	179	185	288	165	265	244	295	160	312	399	2467	1727	2021	512	327	325	6	12	22	13	1	59	134	133	135	192	33	135	92	66	369	496	335	470	410	372	1603	453	498	759	529	761	7	10	5	1	9	6	0	2	291	375	303	362	177	207	162	134	145	157	261	450	125	424	1505	1277	941	446	363	755	3	21	8	8	2	18	8	308	439	496	208	113	141	210	108	221	71	584	145	285	111	4268	3891	3072	661	723	404
ASV19	3	2	1	4	4	15	320	282	464	354	369	252	578	480	136	131	141	90	140	217	185	131	160	240	180	238	7	23	5	50	0	68	78	83	111	64	157	278	272	221	145	222	249	269	184	196	193	188	212	187	128	126	0	4	1	0	13	16	3	0	537	1000	667	1013	364	536	569	384	121	122	122	335	28	164	145	174	153	236	246	255	2	7	9	9	4	15	6	254	373	317	197	249	258	352	256	116	19	338	69	173	53	131	95	101	236	190	172
ASV2	502	26	7	18	2	71	2145	1104	1831	1623	1129	2075	4705	812	625	671	776	416	867	1242	2012	1333	1771	2039	2083	2236	55	43	49	22	25	15	3390	2841	2777	1325	3349	1700	4795	4917	844	1140	811	674	840	425	1907	2063	2282	1711	1394	1397	123	82	65	3	30	14	0	7	1621	2644	2543	1349	1322	639	1231	1558	655	314	475	918	150	646	1519	1604	1238	2083	2247	2278	44	51	72	31	2	108	65	2140	1731	2424	1044	1114	1654	1229	4313	415	143	1450	573	613	132	1024	825	1027	2272	1754	1933
