ASVid	Class	Order	Family	Genus
ASV1	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
ASV10	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas
ASV11	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
ASV12	Actinomycetia	Actinomycetales	Dermatophilaceae	denovo_genus
ASV13	Actinomycetia	Actinomycetales	Dermatophilaceae	Terrabacter
ASV14	Actinomycetia	Actinomycetales	Microbacteriaceae	Agromyces
ASV15	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium
ASV16	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium
ASV17	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
ASV18	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
ASV19	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
ASV2	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
ASV20	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
ASV21	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax
ASV22	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum
ASV23	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea
ASV24	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
ASV25	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
ASV26	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
ASV27	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV28	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV29	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV3	Actinomycetia	Propionibacteriales	Nocardioidaceae	Aeromicrobium
ASV30	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea
ASV31	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea
ASV32	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea
ASV33	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter
ASV34	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer
ASV35	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV36	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter
ASV4	Actinomycetia	Actinomycetales	Micrococcaceae	Arthrobacter
ASV5	Actinomycetia	Actinomycetales	Micrococcaceae	Arthrobacter
ASV6	Actinomycetia	Actinomycetales	Micrococcaceae	Pseudarthrobacter
ASV7	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
ASV8	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
ASV9	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dyella
R7A	R7A	R7A	R7A	R7A
