Length	Compartment	time	Inoculum	replicate_no.	Nitrate_supplement	Flower
3.344	shoot	9	NC	1	none	no
2.756	shoot	9	NC	1	none	no
2.724	shoot	9	NC	1	none	no
4.181	shoot	9	NC	1	none	no
3.266	shoot	9	NC	1	none	no
3.066	shoot	9	NC	2	none	no
3.626	shoot	9	NC	2	none	no
3.712	shoot	9	NC	2	none	no
3.364	shoot	9	NC	2	none	no
3.363	shoot	9	NC	2	none	no
9.907	shoot	9	SC	1	3 mM KNO3	no
6.91	shoot	9	SC	1	3 mM KNO3	no
11.378	shoot	9	SC	1	3 mM KNO3	no
8.638	shoot	9	SC	1	3 mM KNO3	no
9.742	shoot	9	SC	1	3 mM KNO3	no
12.384	shoot	9	SC	2	3 mM KNO3	no
6.462	shoot	9	SC	2	3 mM KNO3	no
9.626	shoot	9	SC	2	3 mM KNO3	no
11.618	shoot	9	SC	2	3 mM KNO3	no
11.023	shoot	9	SC	2	3 mM KNO3	no
15.425	shoot	9	SC	3	3 mM KNO3	no
9.514	shoot	9	SC	3	3 mM KNO3	no
16.726	shoot	9	SC	3	3 mM KNO3	no
15.179	shoot	9	SC	3	3 mM KNO3	no
13.119	shoot	9	SC	3	3 mM KNO3	no
10.207	shoot	9	SC	4	3 mM KNO3	no
8.948	shoot	9	SC	4	3 mM KNO3	no
9.283	shoot	9	SC	4	3 mM KNO3	no
11.175	shoot	9	SC	4	3 mM KNO3	no
14.561	shoot	9	SC	4	3 mM KNO3	no
10.389	shoot	9	SC	5	3 mM KNO3	no
9.509	shoot	9	SC	5	3 mM KNO3	no
9.027	shoot	9	SC	5	3 mM KNO3	no
11.815	shoot	9	SC	5	3 mM KNO3	no
9.566	shoot	9	SC	5	3 mM KNO3	no
14.246	shoot	9	SC	6	3 mM KNO3	no
8.465	shoot	9	SC	6	3 mM KNO3	no
11.973	shoot	9	SC	6	3 mM KNO3	no
10.318	shoot	9	SC	6	3 mM KNO3	no
12.261	shoot	9	SC	6	3 mM KNO3	no
2.869	shoot	9	SC	1	none	no
2.204	shoot	9	SC	1	none	no
2.69	shoot	9	SC	1	none	no
2.312	shoot	9	SC	1	none	no
2.395	shoot	9	SC	1	none	no
2.982	shoot	9	SC	2	none	no
3.018	shoot	9	SC	2	none	no
2.493	shoot	9	SC	2	none	no
2.116	shoot	9	SC	2	none	no
2.978	shoot	9	SC	2	none	no
2.929	shoot	9	SC	3	none	no
2.672	shoot	9	SC	3	none	no
2.645	shoot	9	SC	3	none	no
2.718	shoot	9	SC	3	none	no
2.453	shoot	9	SC	3	none	no
3.012	shoot	9	SC	4	none	no
3.236	shoot	9	SC	4	none	no
3.924	shoot	9	SC	4	none	no
2.783	shoot	9	SC	4	none	no
3.338	shoot	9	SC	4	none	no
3.115	shoot	9	SC	5	none	no
3.792	shoot	9	SC	5	none	no
3.001	shoot	9	SC	5	none	no
1.971	shoot	9	SC	5	none	no
1.81	shoot	9	SC	5	none	no
3.033	shoot	9	SC	6	none	no
2.551	shoot	9	SC	6	none	no
2.604	shoot	9	SC	6	none	no
1.832	shoot	9	SC	6	none	no
2.156	shoot	9	SC	6	none	no
2.527	shoot	9	SC+R7AnifH	1	none	no
3.371	shoot	9	SC+R7AnifH	1	none	no
3.289	shoot	9	SC+R7AnifH	1	none	no
3.293	shoot	9	SC+R7AnifH	1	none	no
2.1	shoot	9	SC+R7AnifH	1	none	no
3.066	shoot	9	SC+R7AnifH	2	none	no
