row ID,row m/z,row retention time,220610_C2_1_1_neg_BD8_2_9421.mzXML Peak area,220610_C2_1_3_neg_BE2_1_9490.mzXML Peak area,220610_C2_1_2_neg_BE1_2_9489.mzXML Peak area,220610_C2_1_1_neg_BD8_1_9420.mzXML Peak area,220610_C2_1_3_neg_BE2_2_9491.mzXML Peak area,220610_C2_1_2_neg_BE1_1_9488.mzXML Peak area,220610_C2_1_4_neg_BE3_1_9496.mzXML Peak area,220610_C2_1_4_neg_BE3_1_9497.mzXML Peak area,220610_C2_1_5_neg_BE4_2_9465.mzXML Peak area,220610_C2_1_5_neg_BE4_1_9464.mzXML Peak area,220610_C2_2_1_neg_BE5_2_9503.mzXML Peak area,220610_C2_2_3_neg_BE7_1_9428.mzXML Peak area,220610_C2_2_2_neg_BE6_1_9482.mzXML Peak area,220610_C2_2_3_neg_BE7_2_9429.mzXML Peak area,220610_C2_2_1_neg_BE5_1_9502.mzXML Peak area,220610_C2_2_2_neg_BE6_2_9483.mzXML Peak area,220610_C2_2_5_neg_GA1_2_9509.mzXML Peak area,220610_C2_2_5_neg_GA1_1_9508.mzXML Peak area,220610_C2_3_2_neg_GA3_2_9493.mzXML Peak area,220610_C2_3_1_neg_GA2_1_9504.mzXML Peak area,220610_C2_3_2_neg_GA3_1_9492.mzXML Peak area,220610_C2_2_4_neg_BE8_1_9506.mzXML Peak area,220610_C2_2_4_neg_BE8_2_9507.mzXML Peak area,220610_C2_3_1_neg_GA2_2_9505.mzXML Peak area,220610_C2_3_3_neg_GA4_2_9423.mzXML Peak area,220610_C2_3_3_neg_GA4_1_9422.mzXML Peak area,220610_C2_3_5_neg_GA6_2_9513.mzXML Peak area,220610_C2_3_5_neg_GA6_1_9512.mzXML Peak area,220610_C2_3_4_neg_GA5_1_9510.mzXML Peak area,220610_C2_3_4_neg_GA5_2_9511.mzXML Peak area,220610_C2_4_1_neg_GA7_1_9416.mzXML Peak area,220610_C2_4_1_neg_GA7_2_9417.mzXML Peak area,220610_C2_4_5_neg_GB3_2_9427.mzXML Peak area,220610_C2_4_5_neg_GB3_1_9426.mzXML Peak area,220610_C2_4_2_neg_GA8_2_9455.mzXML Peak area,220610_C2_4_4_neg_GB2_1_9460.mzXML Peak area,220610_C2_4_2_neg_GA8_1_9454.mzXML Peak area,220610_C2_4_3_neg_GB1_1_9514.mzXML Peak area,220610_C2_4_3_neg_GB1_2_9515.mzXML Peak area,220610_C2_4_4_neg_GB2_2_9461.mzXML Peak area,220610_Gifu_1_1_neg_BA8_1_9418.mzXML Peak area,220610_Gifu_1_4plus_neg_BA1_1_9434.mzXML Peak area,220610_Gifu_1_4plus_neg_BA1_2_9435.mzXML Peak area,220610_Gifu_1_3_neg_BB2_2_9425.mzXML Peak area,220610_Gifu_1_2_neg_BB1_1_9430.mzXML Peak area,220610_Gifu_1_1_neg_BA8_2_9419.mzXML Peak area,220610_Gifu_1_2_neg_BB1_2_9431.mzXML Peak area,220610_Gifu_1_5_neg_BB4_1_9452.mzXML Peak area,220610_Gifu_3_3plus_neg_BA3_1_9458.mzXML Peak area,220610_Gifu_1_6plus_neg_BA2_2_9433.mzXML Peak area,220610_Gifu_1_6plus_neg_BA2_1_9432.mzXML Peak area,220610_Gifu_1_5_neg_BB4_2_9453.mzXML Peak area,220610_Gifu_2_2_neg_BB7_2_9449.mzXML Peak area,220610_Gifu_1_3_neg_BB2_1_9424.mzXML Peak area,220610_Gifu_2_2_neg_BB7_1_9448.mzXML Peak area,220610_Gifu_2_3_neg_BB8_2_9441.mzXML Peak area,220610_Gifu_3_3plus_neg_BA3_2_9459.mzXML Peak area,220610_Gifu_2_5_neg_BC2_2_9451.mzXML Peak area,220610_Gifu_2_6_neg_BC3_1_9500.mzXML Peak area,220610_Gifu_2_4_neg_BC1_1_9442.mzXML Peak area,220610_Gifu_2_3_neg_BB8_1_9440.mzXML Peak area,220610_Gifu_2_1_neg_BB6_2_9439.mzXML Peak area,220610_Gifu_2_4_neg_BC1_2_9443.mzXML Peak area,220610_Gifu_2_5_neg_BC2_1_9450.mzXML Peak area,220610_Gifu_2_1_neg_BB6_1_9438.mzXML Peak area,220610_Gifu_4_1_neg_BD2_2_9469.mzXML Peak area,220610_Gifu_4_1_neg_BD2_1_9468.mzXML Peak area,220610_Gifu_3_5_neg_BC8_1_9466.mzXML Peak area,220610_Gifu_3_1_neg_BC4_1_9494.mzXML Peak area,220610_Gifu_2_6_neg_BC3_2_9501.mzXML Peak area,220610_Gifu_3_1_neg_BC4_2_9495.mzXML Peak area,220610_Gifu_3_2_neg_BC5_1_9456.mzXML Peak area,220610_Gifu_3_4_neg_BC7_1_9462.mzXML Peak area,220610_Gifu_3_5_neg_BC8_2_9467.mzXML Peak area,220610_Gifu_4_3_neg_BD4_2_9479.mzXML Peak area,220610_Gifu_3_2_neg_BC5_2_9457.mzXML Peak area,220610_Gifu_4_3_neg_BD4_1_9478.mzXML Peak area,220610_Gifu_4_4_neg_BD5_2_9481.mzXML Peak area,220610_Gifu_3_4_neg_BC7_2_9463.mzXML Peak area,220610_Gifu_4_5_neg_BD6_1_9484.mzXML Peak area,220610_Gifu_4_4_neg_BD5_1_9480.mzXML Peak area,220610_Gifu_4_5_neg_BD6_2_9485.mzXML Peak area,220610_Gifu_4_2_neg_BD3_1_9473.mzXML Peak area,220610_Gifu_4_6_neg_BD7_2_9487.mzXML Peak area,220610_Gifu_4_2_neg_BD3_1_9472.mzXML Peak area,220610_Gifu_4_6_neg_BD7_1_9486.mzXML Peak area
1,141.0178507,0.14926083,82317.68,81275.2,83451.82,81129.47,83468.484,82001.02,81670.01,83933.125,83399.586,83654.27,82814.86,80762.94,80892.99,78527.375,83622.336,79588.55,77905.06,79002.195,83927.445,83217.1,82940.945,82058.4,80426.664,80753.57,79243.55,82449.39,17013.842,19523.826,79167.74,21743.271,81267.33,78515.33,78860.07,79109.03,83568.05,79527.84,83928.5,17891.502,14572.193,78777.14,80031.336,83875.53,83382.05,81272.56,65998.75,80088.03,83726.3,80860.15,80349.36,81708.37,83046.84,80760.3,80200.33,81060.86,80044.6,82645.23,78339.44,81209.15,83242.81,82707.75,84218.125,82563.03,82031.98,78482.77,82665.99,82001.7,82769.54,83985.25,81712.25,83161.375,79939.945,83335.15,80787.82,34989.75,79894.27,82021.51,79080.055,79910.71,81893.74,82364.375,80147.79,84723.05,85214.016,83587.79,85481.99,84015.19
2,223.0215037,0.15363081,26796.775,26222.568,26435.85,26417.36,26681.104,26459.252,27137.908,27659.701,26307.941,26826.309,27181.213,26146.764,27320.836,25851.78,27109.256,26306.637,26768.768,27103.846,27027.912,27683.781,26286.438,27333.531,27094.021,27140.8,26226.932,26196.191,5572.1655,6493.1035,26653.137,7123.1978,26486.322,25940.219,26654.203,26708.678,26185.873,26976.154,27163.338,5473.4473,4594.53,26475.791,26195.715,27215.154,27189.86,26885.479,21269.305,26213.094,25686.432,27440.5,26403.838,25984.387,26085.525,27379.867,27134.314,26622.02,26589.545,27054.059,26342.887,27053.295,26344.656,27323.316,27717.273,27040.44,27525.025,26103.002,26989.615,25733.42,25417.604,26253.668,26461.836,26843.9,26423.535,25874.42,26530.312,11019.537,26829.209,26939.11,26538.215,26450.58,26350.559,26436.418,26267.58,27213.707,27704.771,26581.918,27649.607,27340.654
3,305.0245372,0.15654439,47050.633,46553.438,46745.14,46626.73,47689.508,46926.484,48514.5,49138.223,48041.617,48006.1,48395.715,46689.332,48393.03,46554.34,48445.305,47120.14,47687.78,47899.934,48164.484,48798.61,47094.152,48737.594,48114.805,48260.08,46672.344,46276.3,9322.149,11075.495,47921.203,12184.698,46985.13,45673.93,47685.29,47339.156,46922.363,48028.176,48638.43,9477.542,7311.483,47364.316,46461.79,48502.473,48753.39,47625.234,38443.637,45897.656,46389.254,48948.8,47484.9,46611.11,47013.62,48306.79,48065.62,47294.555,47657.855,48617.617,47492.773,48225.28,47882.945,49109.957,49514.176,48370.44,48689.105,46493.33,48821.492,46592.17,45673.33,47084.21,47119.99,48588.707,46441.566,46478.137,47567.996,19588.287,47935.766,48004.54,47582.977,47705.22,47530.613,46352.555,47216.52,48165.016,49831.723,47269.492,49810.95,48071.35
4,422.9330789,0.4885042,439.86993,72.859436,41.223488,628.95667,69.24036,58.842323,63.846275,99.64259,102.41294,54.02858,58.98906,202.17624,83.924805,215.19127,32.436207,136.13547,70.830025,23.928455,149.61043,64.61998,69.75748,96.57747,106.26985,26.53493,92.95393,303.3205,139.24942,1279.3469,79.28132,303.09668,704.9589,187.73804,511.24887,208.45009,85.55676,128.17789,237.02727,118.53162,266.9503,71.974144,664.6865,456.838,238.62509,547.83093,582.4163,264.98712,110.23006,80.07812,111.85037,395.12808,321.46902,124.83145,200.08444,92.704636,198.6734,193.37053,72.903,190.55855,43.136936,232.72827,192.12476,253.9015,305.65775,208.52798,120.38814,144.13374,39.741867,69.35492,24.928072,72.804474,37.788208,126.57474,122.61792,194.81247,73.40996,29.977398,123.17729,51.97417,80.26212,125.08374,92.772415,51.650322,99.40061,89.80682,106.92812,105.37427
5,189.958284,0.48046848,974.2026,562.0647,237.95644,160.47897,522.1087,280.18884,140.06306,141.22559,396.88083,210.90648,55.753952,894.06384,596.0635,460.91983,343.14874,509.25244,262.3079,312.6845,517.0243,193.87431,278.1454,378.7605,183.1474,239.0863,995.23474,930.85455,318.34363,712.1569,173.45168,2617.1353,1144.6628,316.182,847.2225,522.42163,251.97452,383.3277,584.94116,158.4407,844.62134,185.33572,1084.2296,820.45306,901.9654,358.8158,1199.2802,844.1255,938.3428,307.93094,471.57666,908.1429,589.30444,717.89307,749.413,1010.0826,298.70477,197.55856,375.0233,513.4947,492.93857,808.9315,285.32443,474.933,674.1968,579.54016,599.60394,295.85883,111.88797,137.40086,582.355,380.33453,406.7665,572.0711,693.7431,2858.9448,432.38907,674.54724,329.98264,466.68542,350.0964,202.11679,233.78958,212.66489,139.69453,476.23944,257.1786,139.70139
6,221.0258595,0.45806733,29.678486,76.300995,58.71078,62.41053,105.939766,44.713257,67.62825,94.3913,40.246014,63.824463,164.1312,141.84947,77.901306,69.165985,87.621605,76.53816,84.01933,144.82906,78.18193,87.05565,33.982628,76.13356,35.505463,56.707096,106.225266,60.471355,620.7732,50.41323,75.9576,166.07011,195.97214,96.42846,203.47575,55.980675,39.70996,58.015182,37.338116,165.31818,938.50635,153.96924,39.034668,201.92763,108.19938,116.62246,60.763916,42.784138,81.261116,126.563255,45.262634,56.41747,102.41691,25.71211,34.986137,51.999805,108.97681,251.77042,110.5836,56.293682,50.006447,66.09595,77.96451,62.616196,47.60691,148.05695,121.19457,22.067165,124.28919,43.002758,58.145462,44.392387,30.437752,57.58143,28.992907,83.70978,71.803085,29.951626,103.1726,42.855022,28.550488,54.1043,74.89624,129.96037,76.58495,23.523514,23.56218,47.621788
7,292.9928721,0.47261828,721.81354,195.68437,53.497025,512.6419,74.2425,70.145,201.67859,84.851875,122.52112,181.95206,242.10806,251.41095,366.3806,83.11636,220.11946,146.25764,159.58902,67.43499,167.46309,73.8194,220.99754,84.34412,91.7898,1167.865,439.11905,607.19336,357.64725,130.18346,52.620384,197.89815,570.141,555.2704,186.77922,467.81696,148.61981,213.27617,71.25213,126.60021,112.5424,276.69202,221.29128,143.41476,194.15704,239.57607,694.85077,676.5039,199.50897,352.40338,265.221,616.68945,231.85432,335.27988,194.13892,368.459,74.92627,494.1906,354.7719,251.68141,392.87646,115.535446,302.325,252.7352,565.5486,487.31097,652.6059,203.86725,332.0035,425.78265,230.82098,1277.0497,179.66727,298.99332,84.47946,295.38583,279.22662,1486.702,144.88489,45.97859,396.83258,415.71735,1170.4023,88.68011,178.26839,290.7089,416.4825,1298.2452
8,231.9691533,0.5332872,1027.0735,317.32993,405.54852,1036.36,220.04855,441.94656,133.97755,189.8618,517.2411,175.04512,536.45917,313.25284,277.15707,491.512,403.6717,425.77374,465.67053,104.47131,183.35986,460.15833,417.46747,391.77576,520.35254,441.58624,957.7825,626.1432,611.2292,492.18918,535.7256,482.6761,737.38196,724.5937,928.5505,888.17004,414.0503,572.3292,705.3638,650.958,365.59286,428.80533,924.011,846.53467,552.318,988.3747,407.82367,643.1096,903.9901,694.9638,407.348,904.19965,529.7897,715.7131,801.3701,1002.6836,756.52155,459.51575,441.1344,708.7991,129.80397,621.46234,786.9095,768.9142,572.22675,359.50497,535.0187,325.97464,229.58453,378.5723,108.57169,52.837334,447.86093,455.6113,684.04956,2538.9202,270.12372,431.9122,351.9163,351.62497,99.10663,623.04626,104.75022,383.79785,129.5383,112.43332,379.5541,473.72345
9,249.9795236,0.5038558,168.11316,239.00084,39.033485,263.163,62.69184,77.896324,52.556656,133.14429,1041.1044,133.7007,175.00047,1471.9227,128.71333,1449.1754,88.606445,49.23477,234.76634,59.043884,59.078262,135.89906,57.518887,113.61437,172.52037,163.06386,219.43134,161.47382,43.221237,26.857876,57.137005,122.83363,1731.4159,1609.9489,108.576096,182.70067,1014.0705,219.0357,285.02505,109.27301,27.22205,33.955338,339.17917,1459.362,94.71669,205.41063,1596.6583,323.20828,358.62405,170.57318,127.78745,434.85504,469.58472,1125.5562,1250.5988,451.34302,1299.21,249.63422,264.46225,283.69046,28.614376,255.16963,347.28568,156.04567,106.88713,179.08391,161.26262,83.42767,983.68866,1071.9377,980.1947,101.53664,52.096954,103.32259,1173.0322,979.38684,127.98419,61.415497,128.57149,249.66302,146.11777,199.06885,81.12679,728.2657,76.04207,46.643875,237.32724,85.81607
10,291.990068,0.62781715,6130.3203,3343.626,3148.797,6157.63,3455.4856,2991.4746,3296.2832,3341.898,4020.611,3955.6836,3369.3633,6070.4136,3334.8938,5862.92,10328.444,3614.4556,3480.0432,3443.1064,3465.1162,3302.3752,3413.059,3447.6614,3515.118,3423.9043,6116.761,6491.305,3422.7852,3543.4553,10326.401,3607.132,20175.184,6416.267,5916.559,6000.25,4542.049,4242.153,13376.735,3617.4617,2581.4058,4448.215,6385.1064,5780.823,16483.102,6186.7505,5859.478,6539.2217,5702.412,13336.213,4074.2039,5706.699,5382.6865,4468.553,5128.739,5976.3325,4852.118,5167.625,4288.297,15994.111,3480.158,15260.166,5044.1265,14957.191,4813.38,4706.9478,5507.928,3355.0916,11210.242,12142.477,3660.55,3560.061,11490.076,4423.534,4213.9644,12137.131,3244.781,4071.964,12149.25,3209.4966,12712.645,12845.713,1009.2747,3398.5974,11153.845,3059.8994,3873.3157,10703.666
