Feature_ID	NPC_pathway	NPC_pathway_Probability	NPC_superclass	NPC_superclass_Probability	NPC_class	NPC_class_Probability
Feature2553	Fatty acids	0.868114173	Fatty Acids and Conjugates	0.536756516	12-oxophytodienoic acid metabolites	0.367025346
Feature1107	Terpenoids	0.6682024	Monoterpenoids	0.702444017	Acyclic monoterpenoids	0.520431101
Feature1123	Terpenoids	0.665636599	Monoterpenoids	0.678152323	Acyclic monoterpenoids	0.442312926
Feature1175	Terpenoids	0.511244178	Monoterpenoids	0.396590024	Acyclic monoterpenoids	0.334911764
Feature1187	Terpenoids	0.676629901	Monoterpenoids	0.703871489	Acyclic monoterpenoids	0.538434565
Feature1595	Carbohydrates	0.709946096	Polyols	0.324213803	Amino cyclitols	0.203796655
Feature2208	Carbohydrates	0.802349269	Polyols	0.562770247	Amino cyclitols	0.565596282
Feature334	Amino acids and Peptides	0.68030411	Polyols	0.210322991	Amino cyclitols	0.21205622
Feature921	Carbohydrates	0.622156084	Polyols	0.504855931	Amino cyclitols	0.501547575
Feature1066	Carbohydrates	0.764499128	Polyols	0.725806177	Amino cyclitols	0.747356892
Feature1076	Carbohydrates	0.634324491	Polyols	0.518302441	Amino cyclitols	0.537464321
Feature1122	Amino acids and Peptides	0.56778127	Polyols	0.17539537	Amino cyclitols	0.185371682
Feature1138	Carbohydrates	0.727527201	Polyols	0.690923572	Amino cyclitols	0.71690774
Feature1163	Carbohydrates	0.779442728	Polyols	0.693140924	Amino cyclitols	0.74534601
Feature1194	Amino acids and Peptides	0.481599391	Polyols	0.123126782	Amino cyclitols	0.158275455
Feature1230	Carbohydrates	0.699399412	Polyols	0.470077485	Amino cyclitols	0.450410455
Feature1310	Carbohydrates	0.706521213	Polyols	0.628476262	Amino cyclitols	0.660147429
Feature1416	Carbohydrates	0.684347451	Polyols	0.562631428	Amino cyclitols	0.583076656
Feature1421	Amino acids and Peptides	0.745518744	Polyols	0.473780304	Amino cyclitols	0.207192257
Feature1422	Carbohydrates	0.607848823	Polyols	0.484515339	Amino cyclitols	0.489998281
Feature1522	Amino acids and Peptides	0.66945976	Oligopeptides	0.557826579	Amino cyclitols	0.317052305
Feature2035	Carbohydrates	0.550259531	Polyols	0.428138167	Amino cyclitols	0.522416651
Feature88	Amino acids and Peptides	0.844306409	Small peptides	0.922543228	Aminoacids	0.856258333
Feature92	Amino acids and Peptides	0.700017035	Small peptides	0.746467412	Aminoacids	0.723807931
Feature105	Amino acids and Peptides	0.759043992	Small peptides	0.845779777	Aminoacids	0.645934522
Feature247	Amino acids and Peptides	0.720375657	Small peptides	0.765199482	Aminoacids	0.663579762
Feature279	Alkaloids	0.536328197	Fatty acyls	0.343645632	Aminoacids	0.223280326
Feature282	Amino acids and Peptides	0.784089029	Small peptides	0.885561526	Aminoacids	0.863477349
Feature289	Alkaloids	0.304608047	Small peptides	0.322660714	Aminoacids	0.214353517
Feature306	Carbohydrates	0.557193577	Small peptides	0.551442087	Aminoacids	0.464916289
Feature345	Amino acids and Peptides	0.798236191	Small peptides	0.886146188	Aminoacids	0.745130062
Feature385	Amino acids and Peptides	0.918005645	Small peptides	0.97063911	Aminoacids	0.92642808
Feature414	Amino acids and Peptides	0.613001049	Small peptides	0.663122654	Aminoacids	0.412568122
Feature573	Amino acids and Peptides	0.52102536	Small peptides	0.605798125	Aminoacids	0.657718241
Feature712	Amino acids and Peptides	0.908628643	Small peptides	0.9630723	Aminoacids	0.858628988
Feature714	Amino acids and Peptides	0.894389391	Small peptides	0.952042699	Aminoacids	0.810663819
Feature775	Amino acids and Peptides	0.740274906	Small peptides	0.851623118	Aminoacids	0.843698978
Feature776	Amino acids and Peptides	0.681554437	Small peptides	0.778731465	Aminoacids	0.663143873
Feature834	Amino acids and Peptides	0.691377103	Small peptides	0.826811612	Aminoacids	0.689808965
Feature886	Amino acids and Peptides	0.748603225	Small peptides	0.818229318	Aminoacids	0.722768545
Feature1055	Amino acids and Peptides	0.708375871	Small peptides	0.794264615	Aminoacids	0.740105271
Feature1077	Amino acids and Peptides	0.416826844	Small peptides	0.454275131	Aminoacids	0.5208143
Feature1149	Amino acids and Peptides	0.782849491	Small peptides	0.785361886	Aminoacids	0.723251998
Feature1388	Amino acids and Peptides	0.527286887	Small peptides	0.526843727	Aminoacids	0.532260299
Feature1923	Alkaloids	0.590198398	Small peptides	0.448905438	Aminoacids	0.430396259
Feature2073	Alkaloids	0.521399677	Fatty acyls	0.171923518	Aminoacids	0.335532725
Feature2360	Amino acids and Peptides	0.556551099	Small peptides	0.671651781	Aminoacids	0.638946116
Feature2560	Amino acids and Peptides	0.711747587	Small peptides	0.826556742	Aminoacids	0.716966331
Feature2563	Amino acids and Peptides	0.700178266	Small peptides	0.856372178	Aminoacids	0.582518995
Feature2580	Amino acids and Peptides	0.541387856	Small peptides	0.330428004	Aminoacids	0.525483489
Feature2659	Amino acids and Peptides	0.375022411	Small peptides	0.51748842	Aminoacids	0.181996241
Feature141	Amino acids and Peptides	0.899182856	Small peptides	0.929722905	Aminoacids	0.77573514
Feature173	Amino acids and Peptides	0.63288337	Small peptides	0.755136251	Aminoacids	0.694564223
Feature175	Amino acids and Peptides	0.656310141	Small peptides	0.802586317	Aminoacids	0.712598503
Feature200	Amino acids and Peptides	0.735404968	Small peptides	0.811140776	Aminoacids	0.780330718
Feature228	Amino acids and Peptides	0.861561656	Small peptides	0.912151217	Aminoacids	0.822259724
Feature229	Amino acids and Peptides	0.836907804	Small peptides	0.89217031	Aminoacids	0.826693177
Feature235	Amino acids and Peptides	0.495056987	Small peptides	0.587510228	Aminoacids	0.580184579
Feature270	Amino acids and Peptides	0.880627811	Small peptides	0.941640794	Aminoacids	0.807269335
Feature278	Amino acids and Peptides	0.681206584	Small peptides	0.71630317	Aminoacids	0.71126318
Feature281	Alkaloids	0.30986765	Pseudoalkaloids	0.141545802	Aminoacids	0.165514469
Feature303	Amino acids and Peptides	0.8248263	Small peptides	0.911814332	Aminoacids	0.864181757
Feature309	Amino acids and Peptides	0.755467057	Small peptides	0.839311361	Aminoacids	0.690117538
Feature370	Amino acids and Peptides	0.76835829	Small peptides	0.779107332	Aminoacids	0.748595715
Feature383	Amino acids and Peptides	0.641784072	Small peptides	0.786905766	Aminoacids	0.696059883
Feature386	Amino acids and Peptides	0.207865894	Small peptides	0.533827543	Aminoacids	0.528677225
Feature407	Amino acids and Peptides	0.508707106	Small peptides	0.572301209	Aminoacids	0.422560722
Feature422	Amino acids and Peptides	0.401350141	Small peptides	0.589042485	Aminoacids	0.562947512
Feature432	Amino acids and Peptides	0.615809739	Small peptides	0.550422251	Aminoacids	0.147653401
Feature442	Amino acids and Peptides	0.864329636	Small peptides	0.907459497	Aminoacids	0.721535981
Feature477	Amino acids and Peptides	0.756997883	Small peptides	0.8463763	Aminoacids	0.729112804
Feature503	Amino acids and Peptides	0.552066267	Small peptides	0.597080112	Aminoacids	0.639276564
Feature509	Amino acids and Peptides	0.811634779	Small peptides	0.914904535	Aminoacids	0.770830274
Feature619	Amino acids and Peptides	0.869043529	Small peptides	0.912064254	Aminoacids	0.637269914
Feature628	Amino acids and Peptides	0.580311716	Small peptides	0.605955839	Aminoacids	0.629546404
